Date,Close,High,Low,Open,Volume
2020-10-13,21.33775329589844,22.247568522879757,20.582433696921782,22.247568522879757,15117
2020-10-14,21.715410232543945,21.715410232543945,20.891427047925777,21.457915896628037,11249
2020-10-15,21.251922607421875,21.50941697371269,20.42793768849461,21.50941697371269,13823
2020-10-16,21.45792007446289,22.333403606407227,20.462272713976564,21.11459368069336,24641
2020-10-19,20.685434341430664,21.818412208061293,20.59960233760213,21.45791910166888,19896
2020-10-20,21.063093185424805,21.42358463775419,20.42793736923025,21.42358463775419,21464
2020-10-21,19.89578056335449,21.801242970938517,19.89578056335449,21.78407624472653,39133
2020-10-22,19.294960021972656,20.44510459048311,18.67697255533943,20.44510459048311,28406
2020-10-23,18.642635345458984,19.63828243752844,18.024648003277267,19.29495613631638,27708
2020-10-26,17.20150375366211,18.454706277841677,16.308810199022872,18.454706277841677,19450
2020-10-27,18.883886337280277,18.883886337280277,16.145722359961756,17.167169397527523,48556
2020-10-28,18.31736946105957,20.171423582801545,18.31736946105957,20.171423582801545,9707
2020-10-30,16.48906707763672,16.497650859660823,16.48906707763672,16.497650859660823,31233
2020-11-02,16.9096622467041,16.986914638758627,16.489065162323314,16.489065162323314,9156
2020-11-03,16.308805465698242,16.56631226554447,16.308805465698242,16.56631226554447,11617
2020-11-04,16.480484008789062,16.480484008789062,16.463316445703395,16.463316445703395,9986
2020-11-05,16.523399353027344,16.523399353027344,16.50623179194306,16.50623179194306,5089
2020-11-06,16.5577392578125,16.5577392578125,16.5577392578125,16.5577392578125,6690
2020-11-09,17.613515853881836,17.613515853881836,17.57918072990068,17.57918072990068,13254
2020-11-10,18.866718292236328,18.866718292236328,18.35170289604984,18.35170289604984,23675
2020-11-11,17.27016830444336,18.866713498629885,17.20149971154489,18.866713498629885,13509
2020-11-12,19.15856170654297,19.15856170654297,17.802355324440057,17.939692555246257,32363
2020-11-13,21.064117431640625,21.064117431640625,19.1585605992573,19.1585605992573,79771
2020-11-16,20.06842422485352,20.60060730047913,18.969726216629034,19.8452524198248,52771
2020-11-17,18.128530502319336,19.91391594566081,18.077027818481056,19.91391594566081,34479
2020-11-18,18.60921287536621,19.39890277500242,17.287339975831912,17.596349565268802,21936
2020-11-19,18.626379013061523,19.1585603350411,17.68218439096917,18.60921145114249,30682
2020-11-20,18.4032039642334,18.798048029720405,18.02552582193246,18.798048029720405,19039
2020-11-23,18.008359909057617,18.45470669650301,17.768020590578423,18.43753913455769,17798
2020-11-24,17.699352264404297,18.02552776066272,17.61351609048718,18.02552776066272,17607
2020-11-25,18.2143669128418,18.866719574040317,17.61351694079319,17.83669034887602,17233
2020-11-26,17.9396915435791,18.437539386473837,17.647849535276446,18.214365989701875,13525
2020-11-27,17.853857040405273,18.111365585631376,17.16717086084699,17.888192167977685,12134
2020-11-30,17.253005981445312,17.853855942306367,17.201504930443253,17.853855942306367,11632
2020-12-01,17.80235481262207,17.939692039479823,17.441844182823253,17.441844182823253,16997
2020-12-02,17.80235481262207,17.939692039479823,17.270173467845506,17.80235481262207,14276
